Padre	Madre	Hijos	Orden de Nacimiento	Género Hijos	Lugar de nacimiento	Significado del Nombre (Padre)	Referencia	Información Adicional	Notas
Adam		Set		M	Fuera del Edén	Hombre, hecho de tierra roja	1 Crónicas 1 [Cruces: Adam: Génesis 1:26-27, 2:7, 5:1-5; Lucas 3:38; Romanos 5:12-21; Set: Génesis 4:25-26, 5:3-8; Lucas 3:38]	Sobre el padre (Adam): Primer ser humano creado por Dios en el relato del Génesis. Representa el inicio de la humanidad. | Sobre el hijo (Set): Hijo de Adam y Eva, nacido después del asesinato de Abel por Caín. Heredero de la línea mesiánica.	Sentencia 1: Linaje de Adam
Set		Enós		M	Tierra de Nod / Canaán	Sustituto, designado	1 Crónicas 1 [Cruces: Set: Génesis 4:25-26, 5:3-8; Lucas 3:38; Enós: Génesis 4:26, 5:6-11; Lucas 3:38]	Sobre el padre (Set): Hijo de Adam y Eva, nacido después del asesinato de Abel por Caín. Heredero de la línea mesiánica. | Sobre el hijo (Enós): Hijo de Set; durante sus días se comenzó a invocar públicamente el nombre de YAHVÉ.	Sentencia 1: Linaje de Set
Enós		Cainán		M	Canaán	Mortal, débil, hombre	1 Crónicas 1 [Cruces: Enós: Génesis 4:26, 5:6-11; Lucas 3:38; Cainán: Génesis 5:9-14; Lucas 3:37]	Sobre el padre (Enós): Hijo de Set; durante sus días se comenzó a invocar públicamente el nombre de YAHVÉ. | Sobre el hijo (Cainán): Patriarca antediluviano, hijo de Enós y padre de Mahalaleel.	Sentencia 1: Linaje de Enós
Cainán		Mahalaleel		M	Canaán	Adquisición, posesión o nido	1 Crónicas 1 [Cruces: Cainán: Génesis 5:9-14; Lucas 3:37; Mahalaleel: Génesis 5:12-17; Lucas 3:37]	Sobre el padre (Cainán): Patriarca antediluviano, hijo de Enós y padre de Mahalaleel. | Sobre el hijo (Mahalaleel): Hijo de Cainán, ancestro antediluviano en la genealogía que conduce a Noé.	Sentencia 1: Linaje de Cainán
Mahalaleel		Jared		M	Canaán	Alabanza de Dios / Resplandor de Dios	1 Crónicas 1 [Cruces: Mahalaleel: Génesis 5:12-17; Lucas 3:37; Jared: Génesis 5:15-20; Lucas 3:37]	Sobre el padre (Mahalaleel): Hijo de Cainán, ancestro antediluviano en la genealogía que conduce a Noé. | Sobre el hijo (Jared): Hijo de Mahalaleel y padre de Enoc. Vivió 962 años.	Sentencia 1: Linaje de Mahalaleel
Jared		Enoc		M	Canaán	Descenso o el que desciende	1 Crónicas 1 [Cruces: Jared: Génesis 5:15-20; Lucas 3:37; Enoc: Génesis 5:18-24; Hebreos 11:5; Judas 1:14-15; Lucas 3:37]	Sobre el padre (Jared): Hijo de Mahalaleel y padre de Enoc. Vivió 962 años. | Sobre el hijo (Enoc): Caminó con Dios íntimamente y no vio muerte, pues Dios se lo llevó al cielo directamente.	Sentencia 1: Linaje de Jared
Enoc		Matusalén		M	Canaán	Consagrado, dedicado o iniciado	1 Crónicas 1 [Cruces: Enoc: Génesis 5:18-24; Hebreos 11:5; Judas 1:14-15; Lucas 3:37; Matusalén: Génesis 5:21-27; Lucas 3:37]	Sobre el padre (Enoc): Caminó con Dios íntimamente y no vio muerte, pues Dios se lo llevó al cielo directamente. | Sobre el hijo (Matusalén): Hijo de Enoc y abuelo de Noé; es el ser humano más longevo registrado en la Biblia (969 años).	Sentencia 1: Linaje de Enoc
Matusalén		Lamec		M	Canaán	Hombre de la jabalina / Cuando él muera se enviará	1 Crónicas 1 [Cruces: Matusalén: Génesis 5:21-27; Lucas 3:37; Lamec: Génesis 5:25-31; Lucas 3:36]	Sobre el padre (Matusalén): Hijo de Enoc y abuelo de Noé; es el ser humano más longevo registrado en la Biblia (969 años). | Sobre el hijo (Lamec): Hijo de Matusalén y padre de Noé. Profetizó sobre el descanso que traería su hijo.	Sentencia 1: Linaje de Matusalén
Lamec		Noé		M	Mesopotamia	Poderoso, fuerte o el que rebaja	1 Crónicas 1 [Cruces: Lamec: Génesis 5:25-31; Lucas 3:36; Noé: Génesis 5:28-32, Caps 6-9; Mateo 24:37-39; Hebreos 11:7; 1 Pedro 3:20; 2 Pedro 2:5; Lucas 3:36]	Sobre el padre (Lamec): Hijo de Matusalén y padre de Noé. Profetizó sobre el descanso que traería su hijo. | Sobre el hijo (Noé): Construyó el Arca para salvar a su familia y a la creación terrestre del Diluvio universal.	Sentencia 1: Linaje de Lamec
Noé		Sem	1	M	Mesopotamia	Descanso, alivio o consuelo	1 Crónicas 1 [Cruces: Noé: Génesis 5:28-32, Caps 6-9; Mateo 24:37-39; Hebreos 11:7; 1 Pedro 3:20; 2 Pedro 2:5; Lucas 3:36; Sem: Génesis 5:32, 9:26-27, 10:21-31, 11:10-11; Lucas 3:36]	Sobre el padre (Noé): Construyó el Arca para salvar a su familia y a la creación terrestre del Diluvio universal. | Sobre el hijo (Sem): Hijo de Noé; de su linaje provienen los pueblos semitas y la línea de la promesa.	Sentencia 1: Hijo de Noé
